,zip,latitude,longitude,population_2015
0,10001,40.75,-74,19710
1,10002,40.71,-73.99,71450
2,10003,40.73,-73.99,39470
3,10004,40.69,-74.02,4380
4,10005,40.71,-74.01,8600
5,10006,40.71,-74.01,3390
6,10007,40.71,-74.01,5910
8,10009,40.73,-73.98,46940
9,10010,40.74,-73.98,24020
10,10011,40.74,-74,40950
11,10012,40.73,-74,17250
12,10013,40.72,-74,24680
13,10014,40.73,-74.01,25220
15,10016,40.75,-73.98,42940
16,10017,40.75,-73.97,17990
17,10018,40.76,-73.99,8840
18,10019,40.77,-73.99,34280
19,10020,40.76,-73.98,2326
20,10021,40.77,-73.96,36490
21,10022,40.76,-73.97,29800
22,10023,40.78,-73.98,52150
23,10024,40.8,-73.97,50420
24,10025,40.8,-73.97,73730
25,10026,40.8,-73.95,30440
26,10027,40.81,-73.95,45080
27,10028,40.78,-73.95,39430
28,10029,40.79,-73.94,60970
29,10030,40.82,-73.94,23010
30,10031,40.83,-73.95,47370
31,10032,40.84,-73.94,48530
32,10033,40.85,-73.93,45600
33,10034,40.87,-73.92,34740
34,10035,40.8,-73.93,26650
35,10036,40.76,-73.99,25310
36,10037,40.81,-73.94,16880
37,10038,40.71,-74,18310
38,10039,40.83,-73.94,23320
39,10040,40.86,-73.93,36340
42,10044,40.76,-73.95,7080
49,10065,40.76,-73.96,24130
52,10075,40.77,-73.95,22000
90,10128,40.78,-73.95,51720
159,10280,40.71,-74.02,7410
165,10301,40.63,-74.09,33260
166,10302,40.63,-74.14,16100
167,10303,40.63,-74.17,24020
168,10304,40.61,-74.09,38250
169,10305,40.6,-74.07,36980
170,10306,40.58,-74.14,50460
171,10307,40.51,-74.24,12940
172,10308,40.55,-74.15,25790
173,10309,40.53,-74.22,29770
174,10310,40.63,-74.12,22810
176,10312,40.55,-74.18,56670
178,10314,40.6,-74.17,79230
179,10451,40.82,-73.93,43240
180,10452,40.84,-73.92,70360
181,10453,40.85,-73.91,73190
182,10454,40.81,-73.92,31880
183,10455,40.81,-73.91,35240
184,10456,40.83,-73.91,80050
185,10457,40.85,-73.9,64740
186,10458,40.86,-73.89,66470
187,10459,40.83,-73.89,41540
188,10460,40.84,-73.87,47890
189,10461,40.85,-73.84,44170
190,10462,40.84,-73.86,74080
191,10463,40.88,-73.91,60050
192,10464,40.87,-73.8,3600
193,10465,40.82,-73.83,35480
194,10466,40.89,-73.85,59280
195,10467,40.87,-73.87,84310
196,10468,40.87,-73.9,67780
197,10469,40.87,-73.85,58670
198,10470,40.89,-73.87,13220
199,10471,40.9,-73.9,17200
200,10472,40.83,-73.87,57010
201,10473,40.82,-73.86,50920
202,10474,40.81,-73.88,10040
203,10475,40.88,-73.82,35830
367,11004,40.74,-73.71,12390
368,11005,40.76,-73.71,1830
392,11101,40.74,-73.93,28280
393,11102,40.77,-73.93,31820
394,11103,40.76,-73.91,33520
395,11104,40.74,-73.92,25670
396,11105,40.78,-73.91,32260
397,11106,40.76,-73.93,35830
400,11201,40.69,-73.99,49500
402,11203,40.64,-73.94,64970
403,11204,40.62,-73.98,76700
404,11205,40.69,-73.97,38330
405,11206,40.7,-73.94,70670
406,11207,40.67,-73.89,78830
407,11208,40.67,-73.87,85530
408,11209,40.62,-74.03,62070
409,11210,40.63,-73.95,58560
410,11211,40.71,-73.95,54880
411,11212,40.66,-73.91,71850
412,11213,40.67,-73.94,54280
413,11214,40.6,-74,80680
414,11215,40.66,-73.99,57840
415,11216,40.68,-73.95,43790
416,11217,40.68,-73.98,29350
417,11218,40.64,-73.98,71050
418,11219,40.63,-74,94890
419,11220,40.64,-74.02,111430
420,11221,40.69,-73.93,63630
421,11222,40.73,-73.95,32690
422,11223,40.6,-73.97,67530
423,11224,40.58,-73.99,36070
424,11225,40.66,-73.95,50680
425,11226,40.65,-73.96,89750
426,11228,40.62,-74.01,38150
427,11229,40.6,-73.94,71470
428,11230,40.62,-73.97,77620
429,11231,40.68,-74.01,30180
430,11232,40.66,-74.01,25010
431,11233,40.68,-73.92,54720
432,11234,40.61,-73.91,79070
433,11235,40.58,-73.95,69930
434,11236,40.64,-73.9,84350
435,11237,40.7,-73.92,39670
436,11238,40.68,-73.96,45910
437,11239,40.65,-73.88,11980
454,11354,40.77,-73.84,52240
455,11355,40.75,-73.82,90920
456,11356,40.78,-73.84,24010
457,11357,40.79,-73.81,37080
458,11358,40.76,-73.8,35170
459,11359,40.79,-73.78,0
460,11360,40.78,-73.78,17360
461,11361,40.76,-73.77,25800
462,11362,40.76,-73.74,16430
463,11363,40.77,-73.75,6400
464,11364,40.75,-73.76,33810
465,11365,40.74,-73.79,40550
466,11366,40.73,-73.79,13390
467,11367,40.73,-73.83,38200
468,11368,40.74,-73.85,100270
469,11369,40.76,-73.88,34610
470,11370,40.77,-73.89,25770
472,11372,40.75,-73.88,65030
473,11373,40.74,-73.88,97860
474,11374,40.72,-73.86,40580
475,11375,40.72,-73.84,63430
476,11377,40.74,-73.9,84100
477,11378,40.72,-73.9,33470
478,11379,40.71,-73.88,32860
481,11385,40.7,-73.89,90970
485,11411,40.69,-73.73,17930
486,11412,40.69,-73.75,32970
487,11413,40.66,-73.75,37120
488,11414,40.66,-73.84,23540
489,11415,40.71,-73.83,17130
490,11416,40.68,-73.85,24480
491,11417,40.68,-73.84,28750
492,11418,40.7,-73.84,34440
493,11419,40.69,-73.82,44380
494,11420,40.67,-73.81,43510
495,11421,40.69,-73.85,38570
496,11422,40.66,-73.73,28400
497,11423,40.71,-73.76,28290
500,11426,40.74,-73.72,17860
501,11427,40.73,-73.75,22080
502,11428,40.72,-73.74,18820
503,11429,40.71,-73.74,22950
506,11432,40.72,-73.79,56310
507,11433,40.7,-73.79,30750
508,11434,40.68,-73.78,55670
509,11435,40.7,-73.81,49620
510,11436,40.68,-73.8,17450
567,11691,40.6,-73.76,46310
568,11692,40.59,-73.79,16700
569,11693,40.59,-73.81,10360
570,11694,40.58,-73.84,15740
571,11695,40.59,-73.81,30
572,11697,40.56,-73.91,3740
